Customer;State;Customer Lifetime Value;Response;Coverage;Education;Effective To Date;EmploymentStatus;Gender;Income;Location Code;Marital Status;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Policy Type;Policy;Renew Offer Type;Sales Channel;Total Claim Amount;Vehicle Class;Vehicle Size;timestamp;usuario;bot
DP39365;California;8798797003;No;Premium;Master;2011-06-02 00:00:00;Employed;M;77026;Urban;Married;110;9;82;2;3;Corporate Auto;Corporate L1;Offer2;Agent;472029737;Four-Door Car;Medsize;;;
SJ95423;Arizona;8819018934;Yes;Basic;High School or Below;2011-10-01 00:00:00;Employed;M;99845;Suburban;Married;110;23;25;1;8;Corporate Auto;Corporate L3;Offer2;Branch;528;SUV;Medsize;;;
IL66569;California;5384431665;No;Basic;College;1/18/11;Employed;M;83689;Urban;Single;70;21;10;2;8;Corporate Auto;Corporate L3;Offer4;Call Center;307139132;Four-Door Car;Medsize;;;
BW63560;Oregon;7463139377;No;Basic;Bachelor;1/17/11;Employed;F;24599;Rural;Married;64;12;50;1;2;Corporate Auto;Corporate L2;Offer2;Branch;42920271;Four-Door Car;Medsize;;;
FV94802;Nevada;2566867823;No;Basic;High School or Below;2011-06-02 00:00:00;Medical Leave;M;25049;Suburban;Married;67;14;7;0;1;Personal Auto;Personal L3;Offer2;Call Center;454245098;Two-Door Car;Medsize;;;
OE15005;California;3945241604;No;Basic;College;2011-05-01 00:00:00;Medical Leave;M;28855;Suburban;Married;101;12;59;0;1;Personal Auto;Personal L2;Offer3;Call Center;647442031;SUV;Medsize;;;
WC83389;Oregon;5710333115;No;Basic;College;2/27/11;Employed;M;51148;Urban;Married;72;9;1;0;7;Personal Auto;Personal L2;Offer2;Branch;308981664;Four-Door Car;Medsize;;;
FL50705;California;8162617053;No;Premium;High School or Below;1/14/11;Employed;F;66140;Suburban;Married;101;11;21;0;3;Corporate Auto;Corporate L2;Offer1;Call Center;484,8;Four-Door Car;Small;;;
ZK25313;Oregon;2872051273;No;Basic;High School or Below;2/19/11;Employed;M;57749;Suburban;Single;74;31;21;0;1;Personal Auto;Personal L2;Offer1;Branch;355,2;Two-Door Car;Medsize;;;
SV62436;Washington;3041791561;No;Extended;Bachelor;1/21/11;Disabled;F;13789;Suburban;Divorced;79;8;49;0;1;Personal Auto;Personal L3;Offer4;Call Center;379,2;Four-Door Car;Medsize;;;
YH23384;Arizona;2412750402;Yes;Basic;Bachelor;1/26/11;Medical Leave;M;14072;Suburban;Divorced;71;13;3;0;2;Personal Auto;Personal L3;Offer1;Agent;511,2;Four-Door Car;Medsize;;;
TZ98966;Nevada;2450190996;No;Basic;Bachelor;2/24/11;Unemployed;F;0;Suburban;Single;73;4;44;3;1;Corporate Auto;Corporate L3;Offer1;Branch;554376763;Four-Door Car;Medsize;;;
HM55802;California;239210789;No;Basic;Bachelor;2011-05-02 00:00:00;Disabled;F;17870;Suburban;Married;61;30;91;0;1;Corporate Auto;Corporate L2;Offer2;Branch;439,2;Four-Door Car;Medsize;;;
FS42516;Oregon;5802065978;No;Basic;College;1/29/11;Employed;M;97541;Suburban;Married;72;22;1;0;3;Personal Auto;Personal L3;Offer2;Call Center;389185006;Four-Door Car;Large;;;
US89481;California;3946372085;No;Premium;Bachelor;2/28/11;Unemployed;F;0;Suburban;Single;111;15;47;0;1;Personal Auto;Personal L3;Offer1;Agent;799,2;Four-Door Car;Small;;;
HO30839;Washington;5346916576;No;Extended;Master;2011-12-02 00:00:00;Disabled;F;10511;Urban;Married;139;33;64;0;1;Corporate Auto;Corporate L1;Offer1;Branch;516237951;SUV;Medsize;;;
GE62437;Arizona;1290256014;No;Premium;College;2011-02-02 00:00:00;Employed;F;86584;Suburban;Single;111;33;54;2;2;Personal Auto;Personal L3;Offer1;Call Center;532,8;Four-Door Car;Large;;;
EJ77678;Oregon;3235360468;No;Extended;Master;2011-07-02 00:00:00;Employed;F;75690;Suburban;Married;80;17;44;1;1;Personal Auto;Personal L3;Offer2;Branch;384;Four-Door Car;Small;;;
SV85652;Arizona;245458354;No;Basic;College;2/28/11;Employed;M;23158;Suburban;Married;63;4;6;1;1;Personal Auto;Personal L2;Offer4;Call Center;322294043;Four-Door Car;Small;;;
UL64533;Nevada;1897545611;No;Extended;High School or Below;1/22/11;Employed;M;65999;Urban;Married;237;1;14;0;6;Corporate Auto;Corporate L2;Offer2;Agent;615927769;Luxury SUV;Medsize;;;
PF41800;California;4715321344;No;Basic;Bachelor;1/25/11;Unemployed;M;0;Urban;Married;65;19;56;0;3;Personal Auto;Personal L3;Offer1;Call Center;30815089;Four-Door Car;Medsize;;;
AO98601;Washington;5018885233;No;Basic;Bachelor;1/18/11;Employed;M;54500;Suburban;Married;63;28;17;0;6;Corporate Auto;Corporate L2;Offer1;Agent;302,4;Two-Door Car;Small;;;
SK67821;Oregon;4932916345;No;Basic;Bachelor;2/13/11;Employed;F;37260;Rural;Married;62;19;42;0;8;Corporate Auto;Corporate L1;Offer3;Web;15437681;Four-Door Car;Medsize;;;
YV55495;Arizona;5744229745;No;Basic;High School or Below;1/15/11;Employed;F;68987;Urban;Married;71;11;40;0;6;Personal Auto;Personal L1;Offer1;Branch;204475147;Four-Door Car;Medsize;;;
KY38074;California;1389173567;No;Premium;Bachelor;2011-08-01 00:00:00;Employed;M;42305;Suburban;Married;117;10;62;0;2;Personal Auto;Personal L3;Offer1;Agent;561,6;Four-Door Car;Small;;;
DM79012;Oregon;7380976717;No;Extended;Master;2011-06-02 00:00:00;Employed;F;65706;Suburban;Married;91;19;86;0;8;Personal Auto;Personal L3;Offer2;Web;436,8;Four-Door Car;Small;;;
CM61827;Oregon;3090034104;No;Extended;Bachelor;1/25/11;Unemployed;M;0;Suburban;Single;90;7;79;0;1;Personal Auto;Personal L2;Offer3;Agent;648;Two-Door Car;Small;;;
WC35801;Arizona;2521633095;No;Basic;High School or Below;2011-07-02 00:00:00;Employed;M;53243;Rural;Divorced;66;4;15;2;1;Personal Auto;Personal L3;Offer1;Call Center;157397849;Four-Door Car;Medsize;;;
QG25316;Nevada;2652061785;No;Basic;High School or Below;1/18/11;Unemployed;F;0;Suburban;Married;70;7;1;1;1;Corporate Auto;Corporate L3;Offer3;Call Center;484318536;Two-Door Car;Medsize;;;
MB98372;Oregon;2771045031;Yes;Basic;College;2011-11-01 00:00:00;Employed;F;50071;Rural;Single;71;3;32;0;1;Corporate Auto;Corporate L3;Offer2;Agent;18918935;Two-Door Car;Medsize;;;
IL19217;California;393900637;Yes;Extended;Bachelor;1/28/11;Employed;F;60021;Suburban;Married;99;12;28;0;1;Personal Auto;Personal L2;Offer2;Agent;882871945;Four-Door Car;Small;;;
SR38658;Arizona;1223187968;No;Basic;High School or Below;2011-08-02 00:00:00;Employed;M;43244;Suburban;Married;103;15;16;0;2;Personal Auto;Personal L2;Offer4;Agent;494,4;Sports Car;Medsize;;;
DH41343;Washington;2443665166;No;Basic;College;2/23/11;Employed;M;92834;Suburban;Married;61;15;56;0;1;Special Auto;Special L2;Offer2;Call Center;292,8;Four-Door Car;Large;;;
HG65722;Oregon;1281910289;No;Premium;Doctor;1/25/11;Disabled;F;10105;Rural;Married;172;5;4;3;3;Personal Auto;Personal L2;Offer1;Branch;0,517753;SUV;Medsize;;;
BU27331;Arizona;4468510542;No;Basic;Bachelor;1/31/11;Unemployed;M;0;Suburban;Single;73;7;57;3;5;Personal Auto;Personal L3;Offer3;Call Center;579165954;Four-Door Car;Medsize;;;
XM45289;Oregon;5514344018;No;Basic;High School or Below;2011-02-01 00:00:00;Employed;F;23218;Suburban;Single;71;7;10;0;4;Personal Auto;Personal L2;Offer4;Agent;44779344;Two-Door Car;Medsize;;;
KP34198;California;3343875326;No;Extended;Bachelor;2011-07-02 00:00:00;Unemployed;F;0;Suburban;Married;92;11;77;0;1;Corporate Auto;Corporate L2;Offer2;Call Center;529624084;Four-Door Car;Medsize;;;
SH90947;Arizona;2294478927;No;Basic;High School or Below;1/18/11;Unemployed;F;0;Suburban;Married;62;11;56;0;1;Personal Auto;Personal L2;Offer4;Branch;313023175;Four-Door Car;Medsize;;;
WE95729;Oregon;3670742639;No;Basic;College;1/17/11;Employed;M;24804;Suburban;Married;104;1;28;0;2;Personal Auto;Personal L2;Offer1;Agent;593830288;SUV;Small;;;
PY51963;California;3347334946;Yes;Basic;Bachelor;2011-11-01 00:00:00;Employed;F;33190;Suburban;Divorced;106;18;95;0;2;Corporate Auto;Corporate L1;Offer1;Web;508,8;SUV;Medsize;;;
RB69909;Nevada;7983431709;No;Basic;High School or Below;2/21/11;Employed;F;36014;Rural;Married;69;4;40;3;2;Special Auto;Special L1;Offer4;Branch;173956072;Four-Door Car;Medsize;;;
XR95069;Washington;4854745666;No;Basic;Bachelor;2/16/11;Employed;M;29834;Suburban;Single;64;19;44;0;3;Personal Auto;Personal L3;Offer4;Agent;307,2;Four-Door Car;Medsize;;;
FR46645;California;4293997319;No;Premium;Bachelor;1/17/11;Disabled;M;16701;Suburban;Married;113;20;26;0;1;Personal Auto;Personal L2;Offer1;Branch;831625979;Four-Door Car;Small;;;
SY17488;Arizona;7164395543;No;Extended;College;2011-05-02 00:00:00;Employed;F;46623;Suburban;Divorced;91;1;53;0;3;Corporate Auto;Corporate L3;Offer3;Call Center;436,8;Four-Door Car;Small;;;
AP67935;California;76195158;No;Basic;College;2/13/11;Employed;M;64749;Urban;Married;64;24;59;0;2;Special Auto;Special L2;Offer2;Branch;30256519;Four-Door Car;Medsize;;;
FS37417;Arizona;3958002823;No;Basic;High School or Below;2/23/11;Unemployed;F;0;Suburban;Married;101;29;12;0;1;Personal Auto;Personal L2;Offer1;Call Center;484,8;SUV;Small;;;
ML29312;Oregon;4499493252;No;Extended;High School or Below;1/28/11;Disabled;F;16969;Suburban;Divorced;124;34;47;2;1;Personal Auto;Personal L3;Offer1;Call Center;704768111;SUV;Medsize;;;
UB61619;Oregon;4059567414;No;Premium;Master;2/28/11;Disabled;F;11621;Suburban;Divorced;108;4;98;0;1;Personal Auto;Personal L1;Offer1;Agent;518,4;Four-Door Car;Medsize;;;
CD86811;Arizona;4458113369;Yes;Basic;Bachelor;2011-02-01 00:00:00;Retired;M;17622;Suburban;Divorced;65;1;36;1;3;Personal Auto;Personal L1;Offer1;Agent;312;Four-Door Car;Medsize;;;
RU83859;California;8110333139;No;Premium;Bachelor;1/22/11;Medical Leave;F;11489;Suburban;Married;105;4;50;0;6;Personal Auto;Personal L3;Offer1;Call Center;504;Two-Door Car;Small;;;
FG63582;Oregon;3339764873;No;Extended;Bachelor;1/15/11;Unemployed;M;0;Suburban;Single;94;20;53;0;1;Personal Auto;Personal L3;Offer1;Agent;863327324;Two-Door Car;Small;;;
NN71951;California;2426101777;No;Basic;High School or Below;1/27/11;Employed;F;66525;Rural;Married;100;0;86;0;2;Personal Auto;Personal L3;Offer1;Agent;104331355;SUV;Medsize;;;
WB37082;Arizona;6613973653;No;Basic;Bachelor;1/23/11;Unemployed;F;0;Suburban;Single;63;21;28;0;2;Personal Auto;Personal L3;Offer3;Branch;676391482;Four-Door Car;Large;;;
SM52139;Washington;2930693543;No;Basic;College;1/31/11;Employed;M;33663;Suburban;Married;73;29;71;0;1;Personal Auto;Personal L3;Offer3;Web;350,4;Four-Door Car;Medsize;;;
FL82372;Oregon;8672194272;No;Basic;College;1/26/11;Employed;F;22547;Suburban;Divorced;112;7;60;0;3;Corporate Auto;Corporate L3;Offer1;Agent;537,6;SUV;Medsize;;;
DP45816;Arizona;1163866926;No;Extended;High School or Below;2011-10-01 00:00:00;Employed;F;61486;Urban;Married;97;5;65;0;2;Personal Auto;Personal L3;Offer4;Branch;465258644;Two-Door Car;Small;;;
GW33762;Oregon;6846150323;Yes;Extended;Bachelor;1/27/11;Unemployed;F;0;Suburban;Divorced;95;13;20;0;5;Personal Auto;Personal L3;Offer1;Call Center;456;Two-Door Car;Large;;;
RZ33670;California;1172777648;No;Premium;College;2011-09-01 00:00:00;Disabled;F;29879;Suburban;Married;102;17;0;0;2;Personal Auto;Personal L3;Offer3;Web;500254235;Four-Door Car;Medsize;;;
PY70169;Oregon;2264383478;No;Basic;High School or Below;2/24/11;Employed;M;93011;Rural;Divorced;113;17;12;0;2;Personal Auto;Personal L3;Offer4;Agent;281451042;SUV;Medsize;;;
MO91628;Oregon;2614474305;No;Basic;Master;2011-11-02 00:00:00;Employed;M;65186;Rural;Married;65;29;27;0;1;Personal Auto;Personal L2;Offer2;Web;5434505;Two-Door Car;Large;;;
HW87852;Oregon;2451752695;No;Basic;Master;2011-12-02 00:00:00;Medical Leave;M;26840;Suburban;Married;64;1;47;2;1;Personal Auto;Personal L1;Offer1;Agent;307,2;Four-Door Car;Medsize;;;
HB20453;Oregon;6781270203;No;Basic;Bachelor;2011-04-02 00:00:00;Unemployed;M;0;Suburban;Single;104;30;3;1;5;Personal Auto;Personal L3;Offer1;Agent;982399613;Sports Car;Medsize;;;
BN87372;Oregon;4974801539;Yes;Basic;Bachelor;1/18/11;Employed;M;75644;Suburban;Divorced;65;5;68;3;9;Personal Auto;Personal L3;Offer2;Branch;467803638;Two-Door Car;Medsize;;;
YX23800;Oregon;8591604933;No;Basic;Bachelor;2011-11-02 00:00:00;Employed;M;38984;Suburban;Married;73;27;38;0;2;Personal Auto;Personal L3;Offer2;Branch;350,4;Four-Door Car;Small;;;
DZ87709;Oregon;5592161392;No;Basic;High School or Below;2011-01-02 00:00:00;Employed;F;71811;Rural;Single;71;17;48;0;6;Personal Auto;Personal L1;Offer2;Call Center;2903416;Four-Door Car;Medsize;;;
XW13033;Nevada;8009472833;No;Basic;College;2/15/11;Employed;M;20961;Suburban;Married;67;20;33;0;2;Personal Auto;Personal L1;Offer2;Agent;321,6;Four-Door Car;Medsize;;;
LN31673;Washington;1131808982;No;Extended;College;2011-06-02 00:00:00;Employed;M;38923;Rural;Married;99;6;83;2;2;Personal Auto;Personal L3;Offer1;Agent;115728852;Four-Door Car;Medsize;;;
OM82309;California;5816655351;No;Basic;Bachelor;2/27/11;Employed;M;61321;Rural;Single;186;0;30;1;2;Personal Auto;Personal L3;Offer2;Branch;42763121;Luxury Car;Small;;;
ZU35962;California;8025229358;No;Extended;College;1/26/11;Unemployed;F;0;Rural;Single;77;20;26;0;2;Personal Auto;Personal L3;Offer3;Branch;25807685;Two-Door Car;Large;;;
VH85817;California;5780182197;Yes;Basic;High School or Below;2/26/11;Employed;M;51066;Suburban;Single;74;23;0;0;8;Personal Auto;Personal L3;Offer2;Call Center;787993313;Four-Door Car;Medsize;;;
DT85712;California;4118539113;No;Basic;Doctor;1/27/11;Employed;M;34378;Suburban;Married;102;12;54;0;1;Personal Auto;Personal L1;Offer3;Branch;489,6;SUV;Medsize;;;
YJ88573;Nevada;252307015;No;Basic;Master;1/16/11;Employed;M;43072;Suburban;Married;63;35;15;0;1;Personal Auto;Personal L3;Offer2;Call Center;302,4;Four-Door Car;Large;;;
SQ19467;Oregon;6554216396;No;Extended;College;1/27/11;Disabled;F;25222;Suburban;Single;90;28;69;0;3;Personal Auto;Personal L3;Offer2;Agent;475623251;Four-Door Car;Small;;;
HF88410;Washington;7703397294;No;Basic;High School or Below;2/28/11;Employed;M;36765;Suburban;Married;66;15;32;1;2;Personal Auto;Personal L2;Offer1;Call Center;320849072;Four-Door Car;Medsize;;;
ET79815;California;5926729379;Yes;Extended;College;1/25/11;Retired;M;23091;Suburban;Married;96;28;90;5;5;Personal Auto;Personal L1;Offer1;Agent;460,8;Four-Door Car;Medsize;;;
QC35222;California;2683470677;No;Basic;Bachelor;2011-01-01 00:00:00;Employed;F;48269;Urban;Married;69;3;79;3;1;Corporate Auto;Corporate L2;Offer3;Web;282151207;Four-Door Car;Medsize;;;
CJ15590;Oregon;2695182419;No;Basic;Bachelor;2011-01-02 00:00:00;Employed;F;32720;Suburban;Divorced;67;13;12;0;1;Personal Auto;Personal L2;Offer3;Branch;321,6;Four-Door Car;Medsize;;;
OI48267;California;604702516;Yes;Extended;College;2/19/11;Employed;M;20396;Suburban;Married;76;15;60;1;4;Personal Auto;Personal L3;Offer1;Branch;364,8;Four-Door Car;Medsize;;;
JY67916;Oregon;1317101282;No;Premium;College;1/27/11;Medical Leave;M;21513;Suburban;Married;119;21;81;1;2;Personal Auto;Personal L3;Offer2;Branch;679827592;Two-Door Car;Small;;;
OE75231;Washington;1065688195;Yes;Extended;Bachelor;2/27/11;Employed;F;72540;Suburban;Married;88;7;3;0;2;Corporate Auto;Corporate L3;Offer2;Call Center;631743039;Two-Door Car;Medsize;;;
CZ33664;Oregon;2527653796;No;Basic;Bachelor;1/17/11;Employed;F;80744;Rural;Married;63;24;84;0;1;Corporate Auto;Corporate L3;Offer1;Agent;11879037;Four-Door Car;Medsize;;;
WK30175;Oregon;2672095756;No;Basic;Bachelor;2011-10-02 00:00:00;Employed;M;52822;Suburban;Married;67;23;88;0;1;Corporate Auto;Corporate L1;Offer1;Branch;350529033;Two-Door Car;Small;;;
ON44465;California;5313294035;No;Extended;High School or Below;1/24/11;Unemployed;F;0;Suburban;Single;77;8;10;1;9;Personal Auto;Personal L2;Offer1;Agent;8633947;Four-Door Car;Medsize;;;
TV87155;Oregon;2094619251;No;Basic;Bachelor;2/24/11;Employed;F;69738;Suburban;Married;74;2;26;1;2;Personal Auto;Personal L3;Offer1;Branch;492127532;Four-Door Car;Large;;;
KH48895;Arizona;8375353929;No;Basic;Master;2/15/11;Medical Leave;F;17780;Rural;Married;109;12;18;0;9;Personal Auto;Personal L3;Offer1;Branch;132588288;SUV;Medsize;;;
NZ30757;California;4801661503;No;Basic;Bachelor;2/16/11;Medical Leave;M;18107;Suburban;Married;62;29;11;0;8;Personal Auto;Personal L2;Offer1;Agent;297,6;Four-Door Car;Medsize;;;
RI22468;Arizona;574594334;No;Basic;Bachelor;1/22/11;Employed;F;57740;Urban;Married;74;30;87;3;9;Personal Auto;Personal L1;Offer3;Web;269905129;Four-Door Car;Medsize;;;
FZ30935;Oregon;6066115969;No;Extended;College;2/25/11;Employed;M;32627;Suburban;Married;76;11;60;0;7;Personal Auto;Personal L2;Offer1;Agent;380036697;Two-Door Car;Small;;;
UG93476;California;8002308333;Yes;Basic;College;2011-11-01 00:00:00;Unemployed;F;0;Suburban;Married;107;3;65;0;3;Personal Auto;Personal L3;Offer1;Agent;513,6;SUV;Medsize;;;
AB96670;California;2393915369;Yes;Basic;College;1/31/11;Unemployed;M;0;Suburban;Single;70;24;10;0;1;Personal Auto;Personal L1;Offer1;Branch;425266308;Four-Door Car;Medsize;;;
XK64261;Oregon;47628179;No;Basic;Bachelor;2011-12-01 00:00:00;Employed;M;65795;Rural;Single;62;2;85;1;3;Corporate Auto;Corporate L3;Offer3;Call Center;49011099;Two-Door Car;Medsize;;;
EV68375;California;433038602;Yes;Premium;College;2/16/11;Employed;M;60475;Suburban;Married;107;9;18;0;1;Personal Auto;Personal L3;Offer2;Branch;513,6;Four-Door Car;Medsize;;;
UN51653;California;9402729769;No;Extended;High School or Below;2011-09-02 00:00:00;Unemployed;F;0;Suburban;Single;130;28;88;0;4;Personal Auto;Personal L3;Offer1;Web;936;SUV;Medsize;;;
TO96662;Oregon;6966694527;No;Extended;Bachelor;1/19/11;Employed;F;41837;Rural;Married;88;29;93;0;9;Personal Auto;Personal L3;Offer1;Call Center;142062768;Four-Door Car;Small;;;
MR52087;California;7694064293;No;Basic;Bachelor;2011-04-01 00:00:00;Employed;F;32303;Rural;Married;65;13;34;0;2;Personal Auto;Personal L1;Offer3;Branch;45152521;Four-Door Car;Medsize;;;
DE75225;Oregon;8717561149;No;Basic;High School or Below;2011-09-01 00:00:00;Unemployed;M;0;Suburban;Married;117;5;89;1;3;Personal Auto;Personal L1;Offer1;Agent;561,6;SUV;Medsize;;;
EP80820;California;5928748528;No;Basic;Bachelor;1/27/11;Employed;F;40531;Rural;Married;74;17;32;0;9;Personal Auto;Personal L3;Offer1;Agent;30567357;Two-Door Car;Medsize;;;
GU99037;Oregon;2452977288;No;Basic;College;2/14/11;Employed;M;79898;Urban;Married;62;5;86;1;1;Corporate Auto;Corporate L1;Offer4;Agent;271606799;Four-Door Car;Medsize;;;
WI57118;California;6701571657;No;Extended;College;2/27/11;Employed;M;56398;Suburban;Married;85;4;18;0;7;Personal Auto;Personal L3;Offer4;Agent;408;Four-Door Car;Small;;;
YQ74870;Washington;755624034;No;Extended;High School or Below;2011-12-02 00:00:00;Employed;M;35257;Suburban;Divorced;98;16;2;1;8;Corporate Auto;Corporate L2;Offer2;Web;470,4;Four-Door Car;Small;;;
MQ14219;Arizona;84926988;No;Basic;College;2/26/11;Employed;M;27804;Suburban;Married;109;19;54;0;7;Personal Auto;Personal L3;Offer2;Branch;784,8;SUV;Medsize;;;
KN20603;Oregon;7713494046;No;Basic;Bachelor;2/20/11;Employed;M;45506;Suburban;Single;66;16;32;2;2;Personal Auto;Personal L3;Offer1;Agent;316,8;Four-Door Car;Medsize;;;
CR48975;Washington;240845352;No;Basic;High School or Below;2011-02-02 00:00:00;Employed;M;65196;Suburban;Married;67;0;54;0;2;Personal Auto;Personal L2;Offer4;Branch;396082036;Four-Door Car;Medsize;;;
JI70886;California;7290069769;No;Basic;High School or Below;2/15/11;Unemployed;M;0;Suburban;Married;102;11;70;1;3;Corporate Auto;Corporate L2;Offer1;Agent;489,6;SUV;Medsize;;;
VF72557;Oregon;4772943848;Yes;Extended;High School or Below;2/18/11;Retired;M;20993;Suburban;Divorced;133;35;90;0;1;Personal Auto;Personal L3;Offer2;Agent;638,4;SUV;Medsize;;;
OX28638;Arizona;6806491395;No;Extended;High School or Below;1/21/11;Employed;M;37839;Suburban;Married;86;35;77;0;9;Personal Auto;Personal L3;Offer2;Branch;465633954;Two-Door Car;Medsize;;;
SK55033;California;2469781334;No;Basic;Bachelor;1/15/11;Employed;F;92711;Suburban;Single;62;24;10;0;1;Personal Auto;Personal L2;Offer3;Agent;368400146;Two-Door Car;Medsize;;;
OO88645;California;3103923041;No;Extended;College;2011-05-02 00:00:00;Employed;F;74665;Urban;Married;78;10;90;2;1;Corporate Auto;Corporate L2;Offer2;Call Center;236902001;Four-Door Car;Medsize;;;
YT36855;Washington;2981875575;No;Extended;College;2/24/11;Unemployed;M;0;Suburban;Married;83;26;89;0;1;Personal Auto;Personal L2;Offer3;Web;582679087;Two-Door Car;Medsize;;;
CW82151;California;8902737595;No;Basic;Bachelor;2011-05-01 00:00:00;Employed;M;46833;Rural;Married;112;6;3;0;9;Personal Auto;Personal L3;Offer1;Call Center;64109663;Sports Car;Medsize;;;
DY22043;Oregon;5499447223;No;Basic;High School or Below;1/28/11;Employed;F;88768;Suburban;Married;68;17;77;0;7;Personal Auto;Personal L3;Offer3;Branch;326,4;Two-Door Car;Small;;;
SH36774;California;1502359858;No;Basic;High School or Below;2011-12-01 00:00:00;Employed;M;28262;Suburban;Single;192;9;77;0;3;Personal Auto;Personal L3;Offer3;Web;921,6;Luxury SUV;Medsize;;;
EM43724;Nevada;2509107875;No;Basic;Bachelor;2/16/11;Employed;F;33555;Rural;Married;63;17;11;0;1;Personal Auto;Personal L3;Offer1;Agent;10189645;Four-Door Car;Medsize;;;
FH85960;Oregon;312217481;No;Premium;College;2011-03-01 00:00:00;Employed;M;42780;Suburban;Divorced;113;10;27;1;2;Personal Auto;Personal L2;Offer1;Call Center;542,4;Four-Door Car;Medsize;;;
XA55993;Oregon;3133503432;No;Extended;Master;2011-07-02 00:00:00;Employed;F;58850;Rural;Single;78;20;26;0;1;Personal Auto;Personal L3;Offer2;Branch;143747794;Four-Door Car;Medsize;;;
GO36627;Arizona;3837451863;No;Extended;College;1/13/11;Employed;M;21880;Urban;Married;97;29;37;0;1;Special Auto;Special L2;Offer1;Branch;424077159;Four-Door Car;Medsize;;;
QH48047;Oregon;1179049617;Yes;Basic;College;2011-03-01 00:00:00;Retired;M;25251;Suburban;Divorced;66;13;43;0;2;Personal Auto;Personal L2;Offer2;Web;316,8;Four-Door Car;Medsize;;;
RB50392;Washington;7838068321;No;Basic;Master;2/17/11;Unemployed;F;0;Rural;Married;69;9;12;0;2;Personal Auto;Personal L1;Offer2;Agent;2704934;Four-Door Car;Medsize;;;
UH65059;Arizona;4305808345;No;Basic;High School or Below;1/21/11;Employed;M;24188;Suburban;Married;109;14;82;0;1;Personal Auto;Personal L3;Offer1;Agent;523,2;Sports Car;Medsize;;;
FV21968;Nevada;5973976904;No;Basic;Bachelor;1/26/11;Employed;F;41611;Rural;Married;74;14;8;0;8;Special Auto;Special L2;Offer1;Branch;113801497;Four-Door Car;Medsize;;;
QA87025;Oregon;5670442396;No;Basic;Bachelor;1/31/11;Employed;F;28406;Urban;Married;72;16;35;1;4;Personal Auto;Personal L3;Offer1;Call Center;19287572;Four-Door Car;Medsize;;;
TQ13499;Arizona;4731749346;No;Premium;College;2011-02-01 00:00:00;Employed;M;69833;Suburban;Married;118;32;99;0;1;Personal Auto;Personal L3;Offer1;Agent;828662719;Four-Door Car;Small;;;
